place,type,address,시군구명,동명
강남데시앙포레어린이놀이터3,주택단지,"서울특별시 강남구 광평로34길 55 (수서동, 강남데시앙포레아파트)",강남구,수서동
강남데시앙포레어린이놀이터1,주택단지,"서울특별시 강남구 광평로34길 55 (수서동, 강남데시앙포레아파트)",강남구,수서동
강남데시앙포레유아놀이터,주택단지,"서울특별시 강남구 광평로34길 55 (수서동, 강남데시앙포레아파트)",강남구,수서동
서울율현초등학교 병설유치원,유치원,서울특별시 강남구 밤고개로12길 16 (자곡동)율현동236번지,강남구,자곡동
청담두산리모델링아파트 테크층 상부놀이터,주택단지,서울특별시 강남구 영동대로142길 16 (청담동，청담래미안로이뷰)청담동 134,강남구,청담동
풀무원직장어린이집 실내놀이터,어린이집,서울특별시 강남구 광평로 280 (수서동)풀무원 직장어린이집,강남구,수서동
샘터공원,도시공원,서울특별시 강남구 학동로 426 (삼성동)삼성동 16-4,강남구,삼성동
서울도곡초등학교병설유치원,유치원,서울특별시 강남구 선릉로64길 33 (대치동),강남구,대치동
LH직장어린이집 앞 놀이터,어린이집,"서울특별시 강남구 선릉로121길 12(논현동, LH공사)",강남구,논현동
일원까치공원,도시공원,서울특별시 강남구 양재대로55길 5(일원동)일원동712-2,강남구,일원동
가로수어린이집,어린이집,"서울특별시 강남구 압구정로18길 28(신사동, 신구초등학교)",강남구,신사동
역삼가애어린이집  놀이터(실외),어린이집,"서울특별시 강남구 도곡로37길 15(역삼동, 구립아동회관)",강남구,역삼동
강남구립행복요양병원 놀이터,의료기관,서울특별시 강남구 헌릉로590길 60 (세곡동),강남구,세곡동
테헤란 아이파크아파트,주택단지,서울특별시 강남구 테헤란로52길 16 (역삼동，테헤란IPARK),강남구,역삼동
강남한양수자인 420동 놀이터,주택단지,서울특별시 강남구 밤고개로23길 14-25(율현동)한양수자인,강남구,율현동
강남한양수자인 418동어린이놀이터3,주택단지,서울특별시 강남구 밤고개로23길 14-25(율현동)주소불명(세곡2지구4단지일대),강남구,율현동
강남한양수자인 409동어린이놀이터2,주택단지,서울특별시 강남구 밤고개로23길 14-25(율현동)(세곡2지구4단지일대),강남구,율현동
강남한양수자인 403동 어린이놀이터1,주택단지,서울특별시 강남구 밤고개로23길 14-25(율현동)주소 불명(세곡2지구 4단지 일대),강남구,율현동
삼성동금호어울림아파트 어린이놀이터,주택단지,"서울특별시 강남구 봉은사로111길 25(삼성동, 금호어울림아파트)",강남구,삼성동
래미안대치하이스턴,주택단지,"서울특별시 강남구 도곡로93길 12 (대치동, 래미안 대치 하이스턴)",강남구,대치동
청담아이파크아파트 어린이놀이터2,주택단지,"서울특별시 강남구 영동대로142길 25(청담동, 청구아파트)청담아이파크아파트",강남구,청담동
청담아이파크 어린이놀이터1,주택단지,"서울특별시 강남구 영동대로142길 25(청담동, 청구아파트)청담아이파크아파트",강남구,청담동
래미안포레1 놀이터,주택단지,"서울특별시 강남구 밤고개로21길 25 (자곡동, 래미안포레아파트)",강남구,자곡동
래미안포레2 놀이터,주택단지,"서울특별시 강남구 밤고개로21길 25 (자곡동, 래미안포레아파트)",강남구,자곡동
래미안포레3 놀이터,주택단지,"서울특별시 강남구 밤고개로21길 25 (자곡동, 래미안포레아파트)",강남구,자곡동
래미안포레 유아놀이터,주택단지,"서울특별시 강남구 밤고개로21길 25 (자곡동, 래미안포레아파트)",강남구,자곡동
오즈의마법사유치원(실내),유치원,서울특별시 강남구 헌릉로618길 14 (세곡동)오즈의마법사유치원,강남구,세곡동
개포PSA어학원(실내),학원,서울특별시 강남구 개포로 408 (개포동)개포PSA어학원,강남구,개포동
서울포이초등학교,학교,서울특별시 강남구 개포로22길 87 (개포동)서울포이초등학교,강남구,개포동
청담몬테소리유치원,유치원,서울특별시 강남구 학동로67길 15 (청담동)청담몬테소리유치원,강남구,청담동
서울대왕초등학교병설유치원,유치원,서울특별시 강남구 헌릉로618길 8 (세곡동)서울대왕초등학교병설유치원,강남구,세곡동
대치도담어린이집 놀이터,어린이집,서울특별시 강남구 선릉로64길 33 (대치동),강남구,대치동
가온어린이집놀이터,어린이집,서울특별시 강남구 헌릉로618길 8 (세곡동),강남구,세곡동
행복공원,도시공원,서울 강남구 세곡동546,강남구,세곡동
도담공원,도시공원,서울 강남구 세곡동548,강남구,세곡동
일원목련아파트놀이터,주택단지,서울특별시 강남구 광평로19길 15 (일원동),강남구,일원동
